index,loc,locAKA,locWB,year,water.type,collector,station,lift,net.type,mesh.mm,mesh.in,spec,sample,fl,fl.thawed,wt,wt.thawed,wt.dressed,sex,mat,gonad.wt,gonad.prsrvd,oto.num,finclip,dnatissue,stomach.contents,stomach.prsvred,muscle.frozen,gillarch.frozen,life.hist,use,age,fecundity,egg.diam,lat,long,depthA,depthB,depth,net.len,net.height,wind.dir,wind.spd,temp.water,temp.air,sky,netset.time,netset.date,netlift.time,netlift.date,lake.zone,tag,remarks,edits
365,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,31,840,na,na,na,6260,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1250,,
366,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,32,850,na,na,na,7167,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1251,,
367,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,33,670,na,na,na,3493,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1252,,
368,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,34,730,na,na,na,3493,na,na,na,na,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1253,,
369,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,35,750,na,na,na,5035,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1254,,
370,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,36,720,na,na,na,4491,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1255,,
371,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,37,750,na,na,na,4128,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1256,,
372,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,38,870,na,na,na,7847,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1257,,
373,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,39,710,na,na,na,4672,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1258,,
374,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,40,660,na,na,na,2858,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1259,,
375,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,41,600,na,na,na,2223,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1260,,
376,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,42,730,na,na,na,4264,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1261,,
377,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,43,740,na,na,na,4445,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1262,,
378,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,44,730,na,na,na,4128,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1263,,
379,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,45,740,na,na,na,4082,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1264,,
380,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,46,850,na,na,na,6350,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1265,,
381,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,47,700,na,na,na,3130,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1266,,
382,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,48,900,na,na,na,7303,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1267,,
383,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,49,880,na,na,na,9525,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1268,,
384,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,50,810,na,na,na,5670,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1270,,
385,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,51,770,na,na,na,5307,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1271,Detached tag,
386,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,52,650,na,na,na,3130,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1272,,
387,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,53,740,na,na,na,4491,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1273,,
388,Naulineavik Lake,,PG008,2008,seawater,Pangnirtung Fish Plant,na,na,na,na,na,ARCH,54,730,na,na,na,3946,na,na,na,na,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,13-Aug-08,na,1274,,
