compound,salinity,group,day,methane_mean,methane_sd,staff
hexane,brackish,sterile,358,NA,NA,Willy_Wonka
toluene,brackish,sterile,358,NA,NA,Chuck_Norris
benzene,fresh,sterile,358,NA,NA,Willy_Wonka
hexane,fresh,sterile,358,NA,NA,Chuck_Norris
toluene,fresh,sterile,358,NA,NA,Willy_Wonka
benzene,saline,sterile,358,NA,NA,Chuck_Norris
hexane,saline,sterile,358,NA,NA,Willy_Wonka
toluene,saline,sterile,358,NA,NA,Chuck_Norris
benzene,brackish,treatment,358,108.233333333333,4.53688586293873,Willy_Wonka
hexane,brackish,treatment,358,127.166666666667,13.7819930827632,Chuck_Norris
toluene,brackish,treatment,358,96.2666666666667,61.5553680301997,Willy_Wonka
benzene,fresh,treatment,358,NA,NA,Chuck_Norris
hexane,fresh,treatment,358,49.2,52.6977940714789,Willy_Wonka
toluene,fresh,treatment,358,38.3333333333333,21.6924718124361,Chuck_Norris
benzene,saline,treatment,358,8.6,1.87349939951952,Willy_Wonka
hexane,saline,treatment,358,29.8666666666667,17.292291153382,Chuck_Norris
toluene,saline,treatment,358,53.6666666666667,2.82193786843958,Willy_Wonka
unamended,brackish,unamended,358,31.75,12.6440697562138,Chuck_Norris
unamended,fresh,unamended,358,NA,NA,Willy_Wonka
unamended,saline,unamended,358,21.2,14.7237902728883,Chuck_Norris
unamended,brackish,media_only,387,NA,NA,Willy_Wonka
unamended,fresh,media_only,387,NA,NA,Chuck_Norris
unamended,saline,media_only,387,NA,NA,Willy_Wonka
benzene,brackish,sterile,387,NA,NA,Chuck_Norris
hexane,brackish,sterile,387,NA,NA,Willy_Wonka
toluene,brackish,sterile,387,NA,NA,Chuck_Norris
benzene,fresh,sterile,387,NA,NA,Willy_Wonka
hexane,fresh,sterile,387,NA,NA,Chuck_Norris
toluene,fresh,sterile,387,NA,NA,Willy_Wonka
benzene,saline,sterile,387,NA,NA,Chuck_Norris
hexane,saline,sterile,387,NA,NA,Willy_Wonka
toluene,saline,sterile,387,NA,NA,Chuck_Norris
benzene,brackish,treatment,387,119.1,4.18688428309167,Willy_Wonka
hexane,brackish,treatment,387,138.2,11.8494725621017,Chuck_Norris
toluene,brackish,treatment,387,104.733333333333,68.4115730950059,Willy_Wonka
benzene,fresh,treatment,387,NA,NA,Chuck_Norris
hexane,fresh,treatment,387,51.7,57.0728481854551,Willy_Wonka
toluene,fresh,treatment,387,40.8,23.9041837342336,Chuck_Norris
benzene,saline,treatment,387,8.63333333333333,2.34591844132172,Willy_Wonka
hexane,saline,treatment,387,32.5333333333333,19.5236608588997,Chuck_Norris
toluene,saline,treatment,387,54.3,10.1385403288639,Willy_Wonka
unamended,brackish,unamended,387,32.5333333333333,13.2322837535073,Chuck_Norris
unamended,fresh,unamended,387,NA,NA,Willy_Wonka
unamended,saline,unamended,387,21.3666666666667,15.2218045360376,Chuck_Norris
unamended,brackish,media_only,425,NA,NA,Willy_Wonka
unamended,fresh,media_only,425,NA,NA,Chuck_Norris
unamended,saline,media_only,425,NA,NA,Willy_Wonka
benzene,brackish,sterile,425,NA,NA,Chuck_Norris
hexane,brackish,sterile,425,NA,NA,Willy_Wonka
toluene,brackish,sterile,425,NA,NA,Chuck_Norris
benzene,fresh,sterile,425,NA,NA,Willy_Wonka
hexane,fresh,sterile,425,NA,NA,Chuck_Norris
toluene,fresh,sterile,425,NA,NA,Willy_Wonka
benzene,saline,sterile,425,NA,NA,Chuck_Norris
hexane,saline,sterile,425,NA,NA,Willy_Wonka
toluene,saline,sterile,425,NA,NA,Chuck_Norris
benzene,brackish,treatment,425,130.233333333333,4.79826357480842,Willy_Wonka
hexane,brackish,treatment,425,152.766666666667,13.5500307502726,Chuck_Norris
toluene,brackish,treatment,425,113.666666666667,75.5990299761401,Willy_Wonka
benzene,fresh,treatment,425,NA,NA,Chuck_Norris
hexane,fresh,treatment,425,55.9666666666667,64.5478375573755,Willy_Wonka
toluene,fresh,treatment,425,44.8,27.3780934325237,Chuck_Norris
benzene,saline,treatment,425,8.4,3.01164406927512,Willy_Wonka
hexane,saline,treatment,425,34.3166666666667,21.5961995113338,Chuck_Norris
toluene,saline,treatment,425,69.1666666666667,8.33461656786522,Willy_Wonka
unamended,brackish,unamended,425,35.1,11.3132665486145,Chuck_Norris
unamended,fresh,unamended,425,NA,NA,Willy_Wonka
unamended,saline,unamended,425,24.3333333333333,18.743087614727,Chuck_Norris
unamended,brackish,media_only,466,NA,NA,Willy_Wonka
unamended,fresh,media_only,466,NA,NA,Chuck_Norris
unamended,saline,media_only,466,NA,NA,Willy_Wonka
benzene,brackish,sterile,466,NA,NA,Chuck_Norris
hexane,brackish,sterile,466,NA,NA,Willy_Wonka
toluene,brackish,sterile,466,NA,NA,Chuck_Norris
benzene,fresh,sterile,466,NA,NA,Willy_Wonka
hexane,fresh,sterile,466,NA,NA,Chuck_Norris
toluene,fresh,sterile,466,NA,NA,Willy_Wonka
benzene,saline,sterile,466,NA,NA,Chuck_Norris
hexane,saline,sterile,466,NA,NA,Willy_Wonka
toluene,saline,sterile,466,NA,NA,Chuck_Norris
benzene,brackish,treatment,466,140.233333333333,7.08119575589697,Willy_Wonka
hexane,brackish,treatment,466,163,11.5295273103454,Chuck_Norris
toluene,brackish,treatment,466,120.4,78.4624751075315,Willy_Wonka
benzene,fresh,treatment,466,NA,NA,Chuck_Norris
hexane,fresh,treatment,466,59.0333333333333,67.347927461306,Willy_Wonka
toluene,fresh,treatment,466,47.6666666666667,28.0305339466328,Chuck_Norris
benzene,saline,treatment,466,11.1,2.88270706107991,Willy_Wonka
hexane,saline,treatment,466,38.0333333333333,22.8073087700705,Chuck_Norris
