compound,salinity,group,replicate_number,day,methane_umoles
hexane,brackish,sterile,3,116,NA
hexane,brackish,treatment,1,116,18.4
hexane,brackish,treatment,2,116,20.1
hexane,brackish,treatment,3,116,33.5
hexane,fresh,sterile,1,116,NA
hexane,fresh,sterile,2,116,NA
hexane,fresh,sterile,3,116,NA
hexane,fresh,treatment,1,116,9.8
hexane,fresh,treatment,2,116,54.1
hexane,fresh,treatment,3,116,2.7
hexane,saline,sterile,1,116,NA
hexane,saline,sterile,2,116,NA
hexane,saline,sterile,3,116,NA
hexane,saline,treatment,1,116,9.8
hexane,saline,treatment,2,116,-5.3
hexane,saline,treatment,3,116,0.7
toluene,brackish,sterile,1,116,NA
toluene,brackish,sterile,2,116,NA
toluene,brackish,sterile,3,116,NA
toluene,brackish,treatment,1,116,30.8
toluene,brackish,treatment,2,116,12.5
toluene,brackish,treatment,3,116,9.2
toluene,fresh,sterile,1,116,NA
toluene,fresh,sterile,2,116,NA
toluene,fresh,sterile,3,116,NA
toluene,fresh,treatment,1,116,19.4
toluene,fresh,treatment,2,116,16.7
toluene,fresh,treatment,3,116,2.9
toluene,saline,sterile,1,116,NA
toluene,saline,sterile,2,116,NA
toluene,saline,sterile,3,116,NA
toluene,saline,treatment,1,116,4.8
toluene,saline,treatment,2,116,2.6
toluene,saline,treatment,3,116,13.4
unamended,brackish,media_only,1,116,NA
unamended,brackish,media_only,2,116,NA
unamended,brackish,media_only,3,116,NA
unamended,brackish,unamended,1,116,NA
unamended,brackish,unamended,2,116,7.6
unamended,brackish,unamended,3,116,4
unamended,fresh,media_only,1,116,NA
unamended,fresh,media_only,2,116,NA
unamended,fresh,media_only,3,116,NA
unamended,fresh,unamended,1,116,34.9
unamended,fresh,unamended,2,116,NA
unamended,fresh,unamended,3,116,25.6
unamended,saline,media_only,1,116,NA
unamended,saline,media_only,2,116,NA
unamended,saline,media_only,3,116,NA
unamended,saline,unamended,1,116,-7.7
unamended,saline,unamended,2,116,-3.4
unamended,saline,unamended,3,116,-6.8
benzene,brackish,sterile,1,137,NA
benzene,brackish,sterile,2,137,NA
benzene,brackish,sterile,3,137,NA
benzene,brackish,treatment,1,137,59.1
benzene,brackish,treatment,2,137,71.6
benzene,brackish,treatment,3,137,37.9
benzene,fresh,sterile,1,137,NA
benzene,fresh,sterile,2,137,NA
benzene,fresh,sterile,3,137,NA
benzene,fresh,treatment,1,137,41.7
benzene,fresh,treatment,2,137,15.4
benzene,fresh,treatment,3,137,27.3
benzene,saline,sterile,1,137,NA
benzene,saline,sterile,2,137,NA
benzene,saline,sterile,3,137,NA
benzene,saline,treatment,1,137,-4.6
benzene,saline,treatment,2,137,-3.6
benzene,saline,treatment,3,137,-3.9
hexane,brackish,sterile,1,137,NA
hexane,brackish,sterile,2,137,NA
hexane,brackish,sterile,3,137,NA
hexane,brackish,treatment,1,137,39.1
hexane,brackish,treatment,2,137,58.7
hexane,brackish,treatment,3,137,57.8
hexane,fresh,sterile,1,137,NA
hexane,fresh,sterile,2,137,NA
hexane,fresh,sterile,3,137,NA
hexane,fresh,treatment,1,137,9.6
hexane,fresh,treatment,2,137,66.3
hexane,fresh,treatment,3,137,3
hexane,saline,sterile,1,137,NA
hexane,saline,sterile,2,137,NA
hexane,saline,sterile,3,137,NA
hexane,saline,treatment,1,137,14
hexane,saline,treatment,2,137,-4.6
hexane,saline,treatment,3,137,4
toluene,brackish,sterile,1,137,NA
toluene,brackish,sterile,2,137,NA
toluene,brackish,sterile,3,137,NA
toluene,brackish,treatment,1,137,42.2
toluene,brackish,treatment,2,137,24.3
toluene,brackish,treatment,3,137,8.6
toluene,fresh,sterile,1,137,NA
toluene,fresh,sterile,2,137,NA
toluene,fresh,sterile,3,137,NA
toluene,fresh,treatment,1,137,23.1
toluene,fresh,treatment,2,137,20.5
toluene,fresh,treatment,3,137,3.8
toluene,saline,sterile,1,137,NA
toluene,saline,sterile,2,137,NA
toluene,saline,sterile,3,137,NA
toluene,saline,treatment,1,137,16.4
toluene,saline,treatment,2,137,8.9
toluene,saline,treatment,3,137,17
unamended,brackish,media_only,1,137,NA
unamended,brackish,media_only,2,137,NA
unamended,brackish,media_only,3,137,NA
unamended,brackish,unamended,1,137,5.7
unamended,brackish,unamended,2,137,12.3
unamended,brackish,unamended,3,137,6.3
unamended,fresh,media_only,1,137,NA
unamended,fresh,media_only,2,137,NA
unamended,fresh,media_only,3,137,NA
unamended,fresh,unamended,1,137,43
unamended,fresh,unamended,2,137,NA
unamended,fresh,unamended,3,137,33.8
unamended,saline,media_only,1,137,NA
unamended,saline,media_only,2,137,NA
unamended,saline,media_only,3,137,NA
unamended,saline,unamended,1,137,-7.4
unamended,saline,unamended,2,137,0.5
unamended,saline,unamended,3,137,-4.1
benzene,brackish,sterile,1,151,NA
benzene,brackish,sterile,2,151,NA
benzene,brackish,sterile,3,151,NA
benzene,brackish,treatment,1,151,44.1
benzene,brackish,treatment,2,151,72.6
benzene,brackish,treatment,3,151,44.8
benzene,fresh,sterile,1,151,NA
benzene,fresh,sterile,2,151,NA
benzene,fresh,sterile,3,151,NA
benzene,fresh,treatment,1,151,39.1
benzene,fresh,treatment,2,151,13.9
benzene,fresh,treatment,3,151,30
benzene,saline,sterile,1,151,NA
benzene,saline,sterile,2,151,NA
benzene,saline,sterile,3,151,NA
benzene,saline,treatment,1,151,-6.8
benzene,saline,treatment,2,151,-6.8
benzene,saline,treatment,3,151,-5.9
hexane,brackish,sterile,1,151,NA
hexane,brackish,sterile,2,151,NA
hexane,brackish,sterile,3,151,NA
hexane,brackish,treatment,1,151,45.1
hexane,brackish,treatment,2,151,63.6
hexane,brackish,treatment,3,151,62.4
hexane,fresh,sterile,1,151,NA
hexane,fresh,sterile,2,151,NA
hexane,fresh,sterile,3,151,NA
hexane,fresh,treatment,1,151,8.1
hexane,fresh,treatment,2,151,65.3
hexane,fresh,treatment,3,151,3.3
hexane,saline,sterile,1,151,NA
hexane,saline,sterile,2,151,NA
hexane,saline,sterile,3,151,NA
hexane,saline,treatment,1,151,12.4
hexane,saline,treatment,2,151,-6.3
hexane,saline,treatment,3,151,4.6
toluene,brackish,sterile,1,151,NA
toluene,brackish,sterile,2,151,NA
toluene,brackish,sterile,3,151,NA
toluene,brackish,treatment,1,151,46.5
toluene,brackish,treatment,2,151,31.8
toluene,brackish,treatment,3,151,8.7
toluene,fresh,sterile,1,151,NA
toluene,fresh,sterile,2,151,NA
toluene,fresh,sterile,3,151,NA
toluene,fresh,treatment,1,151,24.4
toluene,fresh,treatment,2,151,20.9
toluene,fresh,treatment,3,151,1.5
toluene,saline,sterile,1,151,NA
toluene,saline,sterile,2,151,NA
toluene,saline,sterile,3,151,NA
toluene,saline,treatment,1,151,16.4
toluene,saline,treatment,2,151,7.9
toluene,saline,treatment,3,151,16.2
unamended,brackish,media_only,1,151,NA
unamended,brackish,media_only,2,151,NA
unamended,brackish,media_only,3,151,NA
unamended,brackish,unamended,1,151,4.1
unamended,brackish,unamended,2,151,12.1
unamended,brackish,unamended,3,151,4.2
unamended,fresh,media_only,1,151,NA
unamended,fresh,media_only,2,151,NA
unamended,fresh,media_only,3,151,NA
unamended,fresh,unamended,1,151,41.2
unamended,fresh,unamended,2,151,NA
unamended,fresh,unamended,3,151,41.9
unamended,saline,media_only,1,151,NA
unamended,saline,media_only,2,151,NA
unamended,saline,media_only,3,151,NA
unamended,saline,unamended,1,151,-9.2
unamended,saline,unamended,2,151,1.3
unamended,saline,unamended,3,151,-6
benzene,brackish,sterile,1,165,NA
benzene,brackish,sterile,2,165,NA
benzene,brackish,sterile,3,165,NA
benzene,brackish,treatment,1,165,70
benzene,brackish,treatment,2,165,82.2
benzene,brackish,treatment,3,165,53.8
benzene,fresh,sterile,1,165,NA
benzene,fresh,sterile,2,165,NA
benzene,fresh,sterile,3,165,NA
benzene,fresh,treatment,1,165,0.1
benzene,fresh,treatment,2,165,14.7
benzene,fresh,treatment,3,165,33.2
benzene,saline,sterile,1,165,NA
benzene,saline,sterile,2,165,NA
benzene,saline,sterile,3,165,NA
benzene,saline,treatment,1,165,-6.8
benzene,saline,treatment,2,165,-5.9
benzene,saline,treatment,3,165,-5
hexane,brackish,sterile,1,165,NA
hexane,brackish,sterile,2,165,NA
hexane,brackish,sterile,3,165,NA
hexane,brackish,treatment,1,165,58.1
hexane,brackish,treatment,2,165,73.2
hexane,brackish,treatment,3,165,80.1
hexane,fresh,sterile,1,165,NA
hexane,fresh,sterile,2,165,NA
hexane,fresh,sterile,3,165,NA
hexane,fresh,treatment,1,165,8.4
hexane,fresh,treatment,2,165,78.1
hexane,fresh,treatment,3,165,3.4
hexane,saline,sterile,1,165,NA
hexane,saline,sterile,2,165,NA
hexane,saline,sterile,3,165,NA
hexane,saline,treatment,1,165,14.3
hexane,saline,treatment,2,165,-6.3
hexane,saline,treatment,3,165,5.2
toluene,brackish,sterile,1,165,NA
toluene,brackish,sterile,2,165,NA
toluene,brackish,sterile,3,165,NA
